bbl,address,lotarea,zonedist1,landuse,overlay1,max_height,maxComm,maxResi,WAREHOUSES,INDUSTRIAL/RETAIL,MAKERS/OFFICE,HOUSING UNITS,RESIDENTS (PPL),current_height,current_RESIDENTS (PPL),current_WAREHOUSES,current_INDUSTRIAL/RETAIL,current_OFFICE,total_JOBS
3005750028,386 VAN BRUNT STREET,1125.0,R5,Mixed Residential & Commercial Buildings,C1-3,30.0,1125.0,1406.25,0.0,1.0,5.0,1.0,2.0,33.0,5.0,0.0,1.0,0.0,1.0
3004900016,592 SMITH STREET,20000.0,M3-1,Industrial & Manufacturing,,60.0,40000.0,0.0,13.0,66.0,200.0,0.0,0.0,15.0,0.0,6.0,0.0,15.0,21.0
3005260023,74 NELSON STREET,1875.0,M1-1,Multi-Family Walk-Up Buildings,,30.0,1875.0,0.0,0.0,3.0,9.0,0.0,0.0,60.0,21.0,0.0,0.0,0.0,0.0
3005800024,832 HICKS STREET,6000.0,R5,Multi-Family Walk-Up Buildings,C1-3,30.0,6000.0,7500.0,2.0,10.0,30.0,9.0,24.0,33.0,21.0,0.0,0.0,0.0,0.0
3005990014,43 COFFEY STREET,7500.0,M1-1,Industrial & Manufacturing,,30.0,7500.0,0.0,2.0,12.0,37.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,2.0
3005200024,696 HICKS STREET,1873.0,M1-1,,,30.0,1873.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005300036,80 VISITATION PLACE,2000.0,R5,One & Two Family Buildings,,30.0,0.0,2500.0,0.0,0.0,0.0,3.0,8.0,33.0,5.0,0.0,0.0,0.0,0.0
3005340037,23 WEST 9 STREET,6916.0,R5,Industrial & Manufacturing,,30.0,0.0,8645.0,0.0,0.0,0.0,11.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0
3005760031,57 WOLCOTT STREET,800.0,R5,Parking Facilities,,30.0,0.0,1000.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
3006100023,159 BEARD STREET,1500.0,M1-1/R5,One & Two Family Buildings,,60.0,1500.0,1875.0,0.0,2.0,7.0,2.0,5.0,22.0,2.0,0.0,0.0,0.0,0.0
3005640037,154 WOLCOTT STREET,2000.0,M2-1,Vacant Land,,60.0,4000.0,0.0,1.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005980001,403 VAN BRUNT STREET,1800.0,M1-1,Vacant Land,,30.0,1800.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005110001,217 VAN BRUNT STREET,2250.0,M1-1,Multi-Family Walk-Up Buildings,,30.0,2250.0,0.0,0.0,3.0,11.0,0.0,0.0,60.0,24.0,0.0,0.0,0.0,0.0
3005740030,198 CONOVER STREET,2500.0,M2-1,Multi-Family Walk-Up Buildings,,60.0,5000.0,0.0,1.0,8.0,25.0,0.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0
3005770051,48 DIKEMAN STREET,2500.0,R5,Multi-Family Walk-Up Buildings,,30.0,0.0,3125.0,0.0,0.0,0.0,4.0,10.0,33.0,8.0,0.0,0.0,0.0,0.0
